episode,step,action,selected_q_value,q_value_0,q_value_1,q_value_2,q_value_3,q_value_4,reward,speed,on_road,crashed,terminated,truncated,obs_0,obs_1,obs_2,obs_3,obs_4
1,12,0,-0.2642,-0.2642,-0.3262,-0.4082,-0.4561,-0.5731,-1.0000,0.4661,False,False,False,False,"[ 1.         -0.16783673  1.          0.02145606  0.0053805   0.9699669
  0.24323699]","[ 1.         -0.08042422 -0.12522073  0.03360175  0.04768511  0.7200132
  0.69396037]","[ 1.         -0.12111359 -0.32470295  0.06996525  0.07969416  0.7320606
  0.6812395 ]","[ 1.          0.3912443  -0.16848424  0.40058458 -0.19569097  0.9116042
 -0.411069  ]","[ 1.         -0.3258405  -1.          0.06031455  0.6214807   0.12934868
  0.9915992 ]"
1,13,0,-0.2285,-0.2285,-0.2901,-0.3771,-0.4226,-0.5374,-1.0000,0.3273,False,False,False,False,"[ 1.         -0.1666858   1.          0.01507008  0.00377569  0.97001857
  0.24303077]","[ 1.         -0.07749281 -0.10109721  0.02969396  0.03936861  0.7200132
  0.69396037]","[ 1.         -0.11813099 -0.30094615  0.05925883  0.06539316  0.7320606
  0.6812395 ]","[ 1.          0.41457066 -0.2578791   0.3957401  -0.21725024  0.8873465
 -0.46110323]","[ 1.         -0.3193271  -1.          0.11306154  0.61527497  0.20268475
  0.97924405]"
1,14,0,-0.1784,-0.1784,-0.2374,-0.3295,-0.3736,-0.4824,-1.0000,0.2299,False,False,False,False,"[ 1.         -0.1658777   1.          0.01058448  0.00265068  0.9700441
  0.24292898]","[ 1.         -0.07498183 -0.08128124  0.02581035  0.03242724  0.7200132
  0.69396037]","[ 1.         -0.11557838 -0.28142834  0.04984768  0.05358616  0.7320606
  0.6812395 ]","[ 1.          0.43747202 -0.35565743  0.38772026 -0.23863737  0.8603349
 -0.50972927]","[ 1.         -0.309712   -1.          0.16352278  0.605073    0.27541122
  0.96132654]"
1,15,2,0.9189,0.9120,0.8279,0.9189,0.7716,0.8379,-1.0000,0.1615,False,False,False,False,"[ 1.         -0.16531026  1.          0.00743391  0.00186127  0.97005665
  0.24287876]","[ 1.         -0.07285072 -0.06502594  0.02215643  0.02665838  0.7200132
  0.69396037]","[ 1.         -0.11341345 -0.26541546  0.04169967  0.04386136  0.7320606
  0.6812395 ]","[ 1.         -0.297144   -1.          0.21187337  0.59105164  0.34691077
  0.93789816]","[ 1.          0.4597727  -0.46168494  0.37712938 -0.25963533  0.8306534
 -0.55678976]"
1,16,0,0.9214,0.9214,0.8284,0.9209,0.7666,0.8292,-1.0000,0.1134,False,False,False,False,"[ 1.         -0.1649118   1.          0.00522111  0.0013071   0.97006273
  0.24285449]","[ 1.         -0.07105517 -0.05170762  0.01883693  0.02188043  0.7200132
  0.69396037]","[ 1.         -0.11159039 -0.25229424  0.03472631  0.03586709  0.7320606
  0.6812395 ]","[ 1.         -0.2817618  -1.          0.25816894  0.5733816   0.416643
  0.9090702 ]","[ 1.          0.48133    -0.57575303  0.36440757 -0.28007406  0.7983948
 -0.6021343 ]"
1,17,0,0.9332,0.9332,0.8317,0.9257,0.7644,0.8238,-1.0000,0.0796,False,False,False,False,"[ 1.0000000e+00 -1.6463029e-01  1.0000000e+00  3.6673162e-03
  9.1655651e-04  9.7015947e-01  2.4246776e-01]","[ 1.         -0.06955287 -0.04074345  0.01589276  0.01793576  0.7200132
  0.69396037]","[ 1.         -0.11006571 -0.2414903   0.02881142  0.02930744  0.7320606
  0.6812395 ]","[ 1.         -0.2637028  -1.          0.30238202  0.5522337   0.48412353
  0.87499964]","[ 1.          0.5020239  -0.6975295   0.34988013 -0.2998155   0.7636595
 -0.6456192 ]"
1,18,0,0.9322,0.9322,0.8203,0.9163,0.7465,0.8013,-1.0000,0.0559,False,False,False,False,"[ 1.0000000e+00 -1.6447379e-01  1.0000000e+00  2.5751768e-03
  6.4571068e-04  9.6997243e-01  2.4321496e-01]","[ 1.         -0.06825908 -0.03189673  0.01332789  0.01468193  0.7200132
  0.69396037]","[ 1.         -0.10875373 -0.23277387  0.02383124  0.02392752  0.7320606
  0.6812395 ]","[ 1.         -0.24306104 -1.          0.3444309   0.52777475  0.54891086
  0.8358809 ]","[ 1.          0.52179724 -0.82689077  0.33379447 -0.31875235  0.7265556
 -0.6871077 ]"
1,19,0,0.9296,0.9296,0.8075,0.9052,0.7268,0.7764,-1.0000,0.0393,False,False,False,False,"[ 1.0000000e+00 -1.6436182e-01  1.0000000e+00  1.8091958e-03
  4.5123650e-04  9.7027642e-01  2.4199930e-01]","[ 1.         -0.06719189 -0.02435527  0.01112059  0.0120107   0.7200132
  0.69396037]","[ 1.         -0.10767176 -0.22533834  0.0196602   0.01952771  0.7320606
  0.6812395 ]","[ 1.         -0.22003442 -1.          0.38419402  0.5001913   0.61059844
  0.7919404 ]","[ 1.          0.54050785 -0.9630228   0.31633955 -0.33678105  0.6871986
 -0.7264696 ]"
1,20,0,0.7639,0.7639,0.6281,0.7272,0.5577,0.5537,-1.0000,0.0276,False,False,False,False,"[ 1.0000000e+00 -1.6429386e-01  1.0000000e+00  1.2703766e-03
  3.1803601e-04  9.7006309e-01  2.4285315e-01]","[ 1.         -0.06630116 -0.01851134  0.00924202  0.00981398  0.7200132
  0.69396037]","[ 1.         -0.10676901 -0.21958052  0.01618503  0.01592558  0.7320606
  0.6812395 ]","[ 1.         -0.19475524 -0.8279866   0.42153254  0.46965972  0.66880995
  0.7434334 ]","[ 1.          0.5580969  -1.          0.29767096 -0.35382962  0.64571077
 -0.76358205]"
1,21,0,0.6053,0.6053,0.4589,0.5576,0.3996,0.3454,-1.0000,0.0194,False,False,False,False,"[ 1.0000000e+00 -1.6423863e-01  1.0000000e+00  8.9236401e-04
  2.2281530e-04  9.7021300e-01  2.4225348e-01]","[ 1.         -0.06557693 -0.01353093  0.0076546   0.00801489  0.7200132
  0.69396037]","[ 1.         -0.106035   -0.21467014  0.01329953  0.01298385  0.7320606
  0.6812395 ]","[ 1.         -0.16739972 -0.65326667  0.45629263  0.43638146  0.72319716
  0.69064164]","[ 1.          0.57447827 -1.          0.27791476 -0.3698212   0.602221
 -0.7983294 ]"
